id,name,value
1001,Autauga County,0.131553845141767
1003,Baldwin County,0.138008971704624
1005,Barbour County,0.125604547453049
1007,Bibb County,0.123441358024691
1009,Blount County,0.128065962215818
1011,Bullock County,0.119459378733572
1013,Butler County,0.129710708957644
1015,Calhoun County,0.130472369021987
1017,Chambers County,0.126678702647916
1019,Cherokee County,0.127918505725069
1021,Chilton County,0.126895742115616
1023,Choctaw County,0.137326603488532
1025,Clarke County,0.136903539398918
1027,Clay County,0.132891414141414
1029,Cleburne County,0.127405071355759
1031,Coffee County,0.132101334390276
1033,Colbert County,0.130625775687504
1035,Conecuh County,0.141165466610193
1037,Coosa County,0.129257966518001
1039,Covington County,0.135649843983177
1041,Crenshaw County,0.132101334390276
1043,Cullman County,0.130549027288158
1045,Dale County,0.126462404350851
1047,Dallas County,0.129635031764553
1049,DeKalb County,0.121950847664349
1051,Elmore County,0.129257966518001
1053,Escambia County,0.126750966596945
1055,Etowah County,0.129862328722644
1057,Fayette County,0.132258597883598
1059,Franklin County,0.120105105105105
1061,Geneva County,0.135649843983177
1063,Greene County,0.135319393693328
1065,Hale County,0.132732643037303
1067,Henry County,0.138698155083923
1069,Houston County,0.134013537059375
1071,Jackson County,0.124408983451537
1073,Jefferson County,0.143908318940702
1075,Lamar County,0.130395800730308
1077,Lauderdale County,0.129710708957644
1079,Lawrence County,0.123992435515873
1081,Lee County,0.131320593643289
1083,Limestone County,0.128733745332818
1085,Lowndes County,0.137666942034972
1087,Macon County,0.125889203651243
1089,Madison County,0.138784787285724
1091,Marengo County,0.132495196448685
1093,Marion County,0.123647437086502
1095,Marshall County,0.126318615374897
1097,Mobile County,0.139045334445835
1099,Monroe County,0.12539189867068
1101,Montgomery County,0.14018576936558
1103,Morgan County,0.132891414141414
1105,Perry County,0.126968253968254
1107,Pickens County,0.122895157325467
1109,Pike County,0.126895742115616
1111,Randolph County,0.126246843434343
1113,Russell County,0.119652366421349
1115,St. Clair County,0.126390468967261
1117,Shelby County,0.138094744838064
1119,Sumter County,0.129333203983961
1121,Talladega County,0.126390468967261
1123,Tallapoosa County,0.124688240428981
1125,Tuscaloosa County,0.137326603488532
1127,Walker County,0.125321175659585
1129,Washington County,0.129786474558671
1131,Wilcox County,0.141977280795172
1133,Winston County,0.128808373590982
2013,Aleutians East Borough,0.122556229699087
2016,Aleutians West Census Area,0.143815174397699
2020,Anchorage Municipality,0.150640301318267
2050,Bethel Census Area,0.131944444444444
2060,Bristol Bay Borough,0.154623830511096
2068,Denali Borough,0.118947775398525
2070,Dillingham Census Area,0.136987943553912
2090,Fairbanks North Star Borough,0.145796879556722
2100,Haines Borough,0.145988465469412
2105,Hoonah-Angoon Census Area,0.139657098959425
2110,Juneau City and Borough,0.150232890090902
2122,Kenai Peninsula Borough,0.148426482594819
2130,Ketchikan Gateway Borough,0.14270677228288
2150,Kodiak Island Borough,0.144094970456838
2164,Lake and Peninsula Borough,0.152396738302088
2170,Matanuska-Susitna Borough,0.144001584215453
2180,Nome Census Area,0.13861163096971
2185,North Slope Borough,0.140274270482604
2188,Northwest Arctic Borough,0.140274270482604
2195,Petersburg Census Area,0.149223938512051
2198,Prince of Wales-Hyder Census Area,0.143074336409816
2220,Sitka City and Borough,0.15115268329554
2230,Skagway Municipality,0.159279171644763
2240,Southeast Fairbanks Census Area,0.136650949842832
2261,Valdez-Cordova Census Area,0.143815174397699
2270,Wade Hampton Census Area,0.0900301638753827
2275,Wrangell City and Borough,0.150742499623097
2282,Yakutat City and Borough,0.0823857784369464
2290,Yukon-Koyukuk Census Area,0.133610610008686
4001,Apache County,0.121484113966345
4003,Cochise County,0.134990549480221
4005,Coconino County,0.140097379851478
4007,Gila County,0.139219576719577
4009,Graham County,0.128436095054592
4011,Greenlee County,0.117314912589464
4012,La Paz County,0.124828339575531
4013,Maricopa County,0.144752081071299
4015,Mohave County,0.133370014672536
4017,Navajo County,0.137157064471879
4019,Pima County,0.141796071757782
4021,Pinal County,0.127551345834928
4023,Santa Cruz County,0.13016663412094
4025,Yavapai County,0.144469729807831
4027,Yuma County,0.125462701549658
5001,Arkansas County,0.125039079597324
5003,Ashley County,0.12596056941295
5005,Baxter County,0.129786474558671
5007,Benton County,0.13257425086184
5009,Boone County,0.12567559074912
5011,Bradley County,0.121417729204614
5013,Calhoun County,0.125179968701095
5015,Carroll County,0.132022842807157
5017,Chicot County,0.128065962215818
5019,Clark County,0.128065962215818
5021,Clay County,0.120170061895319
5023,Cleburne County,0.133050565535595
5025,Cleveland County,0.11818853427896
5027,Columbia County,0.116944444444444
5029,Conway County,0.126246843434343
5031,Craighead County,0.12733205985355
5033,Crawford County,0.130702614379085
5035,Crittenden County,0.119845978664749
5037,Cross County,0.124339364546415
5039,Dallas County,0.127771388409686
5041,Desha County,0.12004021850051
5043,Drew County,0.125039079597324
5045,Faulkner County,0.130702614379085
5047,Franklin County,0.126534421665401
5049,Fulton County,0.109888449280141
5051,Garland County,0.131398252184769
5053,Grant County,0.127186287604147
5055,Greene County,0.120561282932417
5057,Hempstead County,0.122827221915116
5059,Hot Spring County,0.12201781682836
5061,Howard County,0.126606521050966
5063,Independence County,0.131476002629849
5065,Izard County,0.128883088424852
5067,Jackson County,0.119075264975587
5069,Jefferson County,0.126246843434343
5071,Johnson County,0.120626734226083
5073,Lafayette County,0.0949954871502541
5075,Lawrence County,0.116944444444444
5077,Lee County,0.0995049012290392
5079,Lincoln County,0.0988409450375642
5081,Little River County,0.125039079597324
5083,Logan County,0.124200360226073
5085,Lonoke County,0.123099415204678
5087,Madison County,0.125179968701095
5089,Marion County,0.126823313039066
5091,Miller County,0.128436095054592
5093,Mississippi County,0.119331065759637
5095,Monroe County,0.130319322254806
5097,Montgomery County,0.136735042735043
5099,Nevada County,0.125533584431889
5101,Newton County,0.135237032528572
5103,Ouachita County,0.128584747942387
5105,Perry County,0.131320593643289
5107,Phillips County,0.129408529088203
5109,Pike County,0.121417729204614
5111,Poinsett County,0.115967872883322
5113,Polk County,0.127771388409686
5115,Pope County,0.131398252184769
5117,Prairie County,0.126103543952579
5119,Pulaski County,0.143351254480287
5121,Randolph County,0.121617101502159
